timestamp,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,rainfall_1h_mm,cloud_cover_pct
2024-01-01 00:00,26.4,74,1012.5,12.1,1.2,55
2024-01-01 01:00,25.8,76,1011.9,13.8,2.1,58
2024-01-01 02:00,25.1,81,1010.7,15.5,4.5,64
2024-01-01 03:00,24.7,84,1009.3,18.3,7.9,71
2024-01-01 04:00,24.2,88,1007.8,20.6,12.1,79
2024-01-01 05:00,23.6,91,1006.5,22.5,18.4,86
2024-01-01 06:00,23.1,89,1005.1,24.4,21.8,88
2024-01-01 07:00,24.1,86,1006.2,21.9,16.5,83
2024-01-01 08:00,25.6,79,1008.4,17.4,9.2,75
2024-01-01 09:00,27.4,72,1010.1,14.1,3.7,67
2024-01-01 10:00,29.3,68,1011.6,11.9,1.8,59
